horizon,metric,deaths,new cases,total cases
7,mae,1015.8940209207183,705.1671033163493,1530.0836948451304
7,mape,37.06043274749021,18.113685592040223,1.2305723724816138
7,rmse,1042.0860178593744,723.8581982719159,1929.6367424111734
14,mae,1515.3132397486063,989.2497664243341,5096.245902700996
14,mape,40.81285937548168,25.55360269091314,3.528611850590883
14,rmse,1619.8902885323746,1040.3540645701764,6552.385844078938
21,mae,2095.582179787338,1338.5832686292956,10170.384212283676
21,mape,43.84474304725233,32.90207659742901,6.1994303651269895
21,rmse,2309.4989666427973,1468.1219417072843,13131.42285944639
28,mae,2701.3709658646303,1863.6020216002964,17695.84990375378
28,mape,46.19585146945583,40.653651012924804,9.441708495028232
28,rmse,3022.0844741317433,2149.099844218522,23398.714450604326
